#  file: fsfProjectInterfaces2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.interface, pi.datasource_id 
#  FROM fsf_project_interfaces pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.interface
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	interface	datasource_id
3731	balsa	X Window System	221
5192	BananaPos	Web	221
5192	BananaPos	X Window System	221
3730	bandwidthd	Daemon	221
3730	bandwidthd	Web	221
3729	bangla	X Window System	221
3728	banner	Command Line	221
5191	BannerFilter	Web	221
3727	bannerkiller	Command Line	221
3726	baobob	X Window System	221
3725	bar	Command Line	221
5216	BAR	X Window System	221
3724	barbie	X Window System	221
3723	barcat	Command Line	221
3722	barcode	Command Line	221
3722	barcode	Library	221
5190	BarcodeWriter	X Window System	221
3720	basE91	Command Line	221
3719	bash	Command Line	221
5189	Bash.Diff	Command Line	221
3718	bashblogger	Command Line	221
3717	bashburn	Command Line	221
3716	bashdb	Command Line	221
3715	bashdiff	Command Line	221
5188	Basilic	Web	221
3714	batchelor	Console	221
5187	Batchput	Command Line	221
3713	batemail	Daemon	221
6041	batik	X Window System	221
3711	battstat	X Window System	221
3710	bayonne	Command Line	221
3710	bayonne	Daemon	221
5215	BBBike	X Window System	221
5214	BBclone	Web	221
3709	bbe	Command Line	221
5213	BBrun	X Window System	221
3708	bbs100	Web	221
3707	bc	Command Line	221
3707	bc	Console	221
5439	bcaml	Command Line	221
3706	bcfg2	Command Line	221
3706	bcfg2	Console	221
3706	bcfg2	Daemon	221
3706	bcfg2	Library	221
3706	bcfg2	Web	221
3705	bchunk	Command Line	221
5212	BClock	Command Line	221
5618	bdmd	X Window System	221
3704	beacon	Web	221
3703	beancounter	Command Line	221
6147	beanstalkc	Library	221
3702	beast	X Window System	221
3701	beatforce	X Window System	221
5868	beautifulsoup	Command Line	221
5186	BeeCrypt	Library	221
3699	beep	Command Line	221
6095	belooted	X Window System	221
5185	Benchmark-Timer	Command Line	221
5592	bennu	Library	221
5184	BerkeleyDB	Command Line	221
3698	bestfit	Command Line	221
3697	bff	Command Line	221
3696	bffft	Command Line	221
5211	BFilter	Daemon	221
6220	bfloop	Command Line	221
3695	bfr	Command Line	221
3694	bfsplit	Command Line	221
3693	bgchanger	X Window System	221
5210	BHL	Command Line	221
5210	BHL	X Window System	221
5209	BIABAM	Command Line	221
5183	Bib2html	Web	221
3691	bib2html	Web	221
3690	bib2xhtml	Command Line	221
3690	bib2xhtml	Web	221
3689	biblos	X Window System	221
5182	BibShelf	X Window System	221
5181	BidMonkey	Command Line	221
3688	bidwatcher	X Window System	221
3687	bie	Command Line	221
3686	biew	Console	221
5208	BIF	Web	221
5180	Biferno	Daemon	221
5451	bigace	Web	221
3684	bigboos	Web	221
3683	bigbrotherdatabase	Command Line	221
3683	bigbrotherdatabase	X Window System	221
3685	bigFORTH	Command Line	221
3685	bigFORTH	X Window System	221
3682	biggles	Console	221
3682	biggles	X Window System	221
3681	bigloo	Command Line	221
5336	bigmath	Library	221
5179	BigSam	Web	221
5178	BigText	Command Line	221
5178	BigText	X Window System	221
3680	bigwig	Command Line	221
3679	binfind	Command Line	221
3678	bingo-cards	X Window System	221
3677	binkd	Daemon	221
5207	BINS	Command Line	221
5207	BINS	Web	221
3676	binutils	Command Line	221
3675	bioimagexd	X Window System	221
5177	BioMail	Web	221
5206	BIRD	Command Line	221
5205	BIRT	X Window System	221
5861	biskit	Library	221
3674	bison	Command Line	221
5176	Bit-Vector	Command Line	221
5176	Bit-Vector	Library	221
3673	bitap	Library	221
5753	bitdecoder	Command Line	221
3672	bitflu	Daemon	221
3671	bitlbee	Command Line	221
3670	bitlife	X Window System	221
5754	bitpacket	Command Line	221
5754	bitpacket	Library	221
6261	bitstring	Library	221
5979	bitten	X Window System	221
5404	bitwise	Library	221
3669	bjsko	X Window System	221
5204	BKchem	X Window System	221
3668	blackarts	Web	221
3667	blackbox	X Window System	221
5175	BlackHole	Command Line	221
5174	Blam	X Window System	221
5173	Blame	Command Line	221
5961	blamehangle	Web	221
5384	blas	Command Line	221
5384	blas	Library	221
5640	bleachbit	X Window System	221
3666	blender	X Window System	221
3665	bless	X Window System	221
3664	blib	Library	221
3663	blinkensim	Command Line	221
3663	blinkensim	X Window System	221
3662	blinkentools	Command Line	221
3661	blip_buffer	Library	221
3660	bloat	Command Line	221
5962	blockcanvas	Console	221
5962	blockcanvas	Library	221
5962	blockcanvas	X Window System	221
5172	BlockIt	Command Line	221
5203	BLOG-CMS	Web	221
3659	blossoc	Command Line	221
3659	blossoc	X Window System	221
5171	Blosxom	Command Line	221
5171	Blosxom	Web	221
3658	blq	Command Line	221
3657	bluecombo	X Window System	221
3655	bluedot	Command Line	221
3654	bluefish	X Window System	221
3653	bluelava	Web	221
5577	bluephone	X Window System	221
5578	blueproximity	X Window System	221
3652	bluez	Command Line	221
3651	blwm	X Window System	221
5202	BMI	Console	221
5202	BMI	X Window System	221
3650	boa	Command Line	221
3649	board-tnk	Web	221
5169	BoboBot	X Window System	221
3648	bobotpp	Daemon	221
3647	bochs	Console	221
3647	bochs	X Window System	221
3646	bochstools	Command Line	221
3645	boehm_garbage_collector	Library	221
5633	bogl	Library	221
3644	bogofilter	Command Line	221
3644	bogofilter	Daemon	221
3643	bokin	Command Line	221
6436	bombono	X Window System	221
3642	bond	Library	221
3641	bonddb	Command Line	221
3640	bonfire	X Window System	221
3639	bonsai	Web	221
5168	Booby	Web	221
3638	boodler	Daemon	221
3637	booh	Command Line	221
3637	booh	X Window System	221
3636	bookblog	Web	221
3635	bookcase	X Window System	221
