#  file: sfRawTracker2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseStats60.pl
#
#  ===IMPORTANT===
#  This particular file includes tracker data for each project. This info 
#  is summed based on the daily tracker data for the previous 60 days.
#  ===============
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  The SQL used to generate this data is as follows:
#
#  SELECT  proj_unixname, sum(tracker_opened), sum(tracker_closed)
#  FROM project_statistics_60 
#  WHERE datasource_id=172  
#  GROUP BY proj_unixname
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  tracker opened: the sum of all opened tracker items for this 60-day period 
#  tracker closed: the sum of all closed tracker items for this 60-day period
proj_unixname	sum(tracker_opened)	sum(tracker_closed)
acp-cherry	NULL	NULL
acp3	NULL	NULL
acpi	NULL	NULL
acpi-dialog	NULL	NULL
acpi-largesys	NULL	NULL
acpi4asus	NULL	NULL
acpiclient	NULL	NULL
acpicputhrottle	NULL	NULL
acpid	NULL	NULL
acpimodtester	NULL	NULL
acpimon	NULL	NULL
acpitool	NULL	NULL
acpitoolgui	NULL	NULL
acpiw	NULL	NULL
acpmodem	NULL	NULL
acprac	NULL	NULL
acqlite	NULL	NULL
acquasync	NULL	NULL
acquiesce	NULL	NULL
acquire	NULL	NULL
acquiregame	NULL	NULL
acr-gui	NULL	NULL
acrash	NULL	NULL
acre	NULL	NULL
acrilyc	NULL	NULL
acripper	NULL	NULL
acron	NULL	NULL
acronym	NULL	NULL
acropadd	NULL	NULL
acrophobia	NULL	NULL
acropolis	NULL	NULL
across	0	0
acrs	0	0
acryl	0	0
acrylic	0	0
acrypt	0	0
acryptohashnet	0	0
acscriptworks	0	0
acsct	0	0
acsdebris	0	0
acserver	0	0
acsf	0	0
acss	0	0
acsym	0	0
act	0	0
act-cv	0	0
act-o	0	0
act-rbot	0	0
acta	0	0
actaw	0	0
actb	0	0
actc	0	0
acte	0	0
actedit	0	0
actemit	0	0
acterm	0	0
actetris	0	0
acteurs	0	0
actexport	0	0
actif	0	0
actinictools	0	0
actinium	0	0
action	0	0
action-queue	0	0
actionableids	0	0
actionaz	0	0
actioncache	0	0
actioncrypt	0	0
actiondirectory	0	0
actionfactory	0	0
actionframework	0	0
actionfusion	0	0
actiongame	23	14
actionitemalert	0	0
actionlibmx	0	0
actionlink	0	0
actionmach	0	0
actionmmo	0	0
actionpoll	0	0
actions	0	0
actions-ds	0	0
actions-net	0	0
actionscript	0	0
actionsdbmanage	0	0
actionshooter	0	0
actionstep	0	0
actis	0	0
activ	0	0
activ-porthole	0	0
activa	1	0
activator	0	0
active	0	0
active-ist	0	0
active-jms	0	0
activeagenda	6	2
activebliss	0	0
activeboard	0	0
activebpel	0	0
activedefense	0	0
activedirftp	0	0
activegem	0	0
activegrid	0	0
activehl7	0	0
activeim	0	0
activejob	0	0
activelife	0	0
activelock	0	0
activemap	0	0
activemindsys	0	0
activemon	0	0
activemsn	0	0
activeodma	0	0
activeos	0	0
activepassword	0	0
activerecord	0	0
activerecordnet	0	0
activerecordobj	0	0
activerender	0	0
activereport	0	0
activersion	0	0
activerules	0	0
activesetuptool	0	0
activesql	0	0
activesync	0	0
activeui	0	0
activevalid	0	0
activewiki	0	0
activewinamp	0	0
activewire-osx	0	0
activewizard	6	2
activex	0	0
activexml	0	0
activexmlr	0	0
activexp	0	0
activismnetwork	1	0
activity-logger	0	0
activityindicat	1	0
activitylog	0	0
activitylog-win	0	0
activityscript	0	0
activityspace	0	0
activitystudio	0	0
activitytracker	0	0
activscm	0	0
actl	0	0
actlabtv	0	0
actminer	0	0
acto	0	0
actoframework	0	0
actor	0	0
actos	0	0
actr-sos	0	0
actr-wn-lexical	0	0
acts	0	0
actsassvn	0	0
actualiza	0	0
actualizadix	0	0
actualizer	0	0
actuall	0	0
actwire	0	0
acubbill	0	0
acudos	0	0
acui-agenda	NULL	NULL
acuity	NULL	NULL
acumen	NULL	NULL
acumetric	NULL	NULL
acusto	NULL	NULL
acuview	NULL	NULL
acv	NULL	NULL
acweb	NULL	NULL
acx100	NULL	NULL
acy-7	NULL	NULL
ad-coit	NULL	NULL
ad-gallery	NULL	NULL
ad-hoc-networks	NULL	NULL
ad-infinitum	NULL	NULL
ad-system	NULL	NULL
ad1000	0	0
ad4unix	0	0
ad7924	0	0
ad9850-control	0	0
ada	0	0
ada-autoit	0	0
ada-connect4	0	0
ada-player	0	0
ada-spread	0	0
ada2gxl	0	0
ada95osxbinding	0	0
adaapter	0	0
adac	0	0
adacf	0	0
adacontrol	0	0
adadl	0	0
adadoc	0	0
adads	0	0
adaf	0	0
adafornetbeans	0	0
adafrom	0	0
adage	0	0
adage4	0	0
adagegame	0	0
adagen	0	0
adagide	0	0
adago	0	0
adai	0	0
adaimgsvr	0	0
adal	0	0
adalogo	0	0
adam	0	0
adam-soft	0	0
adam-traffic	0	0
adam15dosgame	0	0
adam3d	0	0
adamant	0	0
adambots-live	0	0
adamo	0	0
adamof	0	0
adams	0	0
adamserver	0	0
adamsoft	0	0
adamultimedia	0	0
adan	0	0
adancedremote	0	0
adaparse	0	0
adapc	0	0
adapdev	0	0
adaprojet	0	0
adapt	0	0
adaptagrams	0	0
adaptbb	0	0
adaptcms	0	0
adaptergen	0	0
adaptergenerato	0	0
adaptit	0	0
adaptive-api	0	0
