#  file: fmRawProjectAuthors2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT fp.project_id, fp.projectname_short, fpa.author_name, fpa.author_role 
#  FROM `fm_project_authors` fpa, fm_projects fp 
#  WHERE fp.datasource_id=218
#  AND fpa.datasource_id=218
#  AND fpa.project_id = fp.project_id
#  ORDER BY fp.project_id
#
#  datasource_id = 218 is the May 2010 run on freshmeat.
project_id	projectname_short	author_name	author_role
1185	cgiirc\n    	David Leadbeater	Owner
1186	cgiburn\n    	Scott Gifford	Owner
1188	cgichk\n    	Fortyseven	Owner
1189	cgicq\n    	Omar Kilani	Owner
1191	cgiforum\n    	Markus Triska	Owner
1196	cgilua\n    	Andre Carregal	Owner
1200	cgiproxy\n    	James Marshall	Owner
1203	cgi_buffer\n    	Mark Nottingham	Owner
1204	cgu_utils\n    	Alexander I. Olefirenko	Owner
1211	themebuilder\n    	alphanumerica	Owner
1215	changetrack\n    	Ernst_A_Steinhoff	Owner
1217	chango\n    	Jerronimo	Owner
1220	charities_cron\n    	Stephen E. Sachs	Owner
1222	chbg\n    	Stevo Ondrejicka	Owner
1227	checkaliases\n    	djm	Owner
1229	checkbot\n    	Hans de Graaff	Owner
1233	checkinstall\n    	Izto	Owner
1234	checklinks\n    	James Marshall	Owner
1237	checkmails\n    	Jess Thrysoee	Owner
1239	checkservice\n    	Paul van Tilburg	Owner
1245	chemsuite\n    	Ricardo	Owner
1246	chemtool\n    	MKroeker	Owner
1251	chester\n    	Brett Wooldridge	Owner
1256	chinesecheckers\n    	Long Island Man (Jon Atkins)	Owner
1259	chirp\n    	Tom Honermann	Owner
1260	chkconfig\n    	Bo Adler	Owner
1263	chkwww\n    	Fredrik Steen	Owner
1270	chromium\n    	Paul Wise	Owner
1271	chrony\n    	Richard Curnow	Owner
1274	ciaoprolog\n    	Clip Lab	Owner
1277	cid\n    	Evelyn Mitchell	Owner
1279	cilk\n    	imipak	Owner
1280	cinclude2dot\n    	Darxus	Owner
1282	cingb\n    	Cinek	Owner
1284	cell\n    	saleslsn	Owner
1285	cipe\n    	Olaf Titz	Owner
1287	circlemud\n    	Jeremy Elson	Owner
1289	circuslinux!\n    	Bill Kendrick, New Breed Software	Owner
1296	citadel\n    	Art Cancro	Owner
1299	citygen\n    	Ken Witherow	Owner
1303	sbit\n    	timecop	Owner
1304	ckmame\n    	Dillo	Admin
1304	ckmame\n    	Wiz	Admin
1304	ckmame\n    	NiH	Owner
1305	cksfv\n    	Heikki Orsila	Owner
1306	clamshell\n    	Jerronimo	Owner
1308	clanlib\n    	Sphair	Owner
1311	clarkconnect\n    	Point Clark Networks	Owner
1312	clarrhmos\n    	Dr. Alexandru Corlan	owner
1333	classweb\n    	Mike Franks	Owner
1334	classytcl\n    	Peter De Rijk	Owner
1338	clean_mail\n    	Jacques Guellec	Owner
1339	clig\n    	Harald Kirsch	Owner
1340	cliserv\n    	Curtis Ireland	Owner
1341	clisp\n    	Sam Steingold	Owner
1343	cloxx\n    	Peter J Jones	Owner
1349	cloneit\n    	Andreas Schiffler	Owner
1355	clusternfs\n    	Greg Warnes	Owner
1355	clusternfs\n    	Michal Ludvig	contributing programmer
1357	clusutils\n    	Dan Pape	Owner
1359	cmatrix\n    	Chris Allegretta	Owner
1360	cmb\n    	Zoltan (znu)	Owner
1361	cmc\n    	Raul Dias	Owner
1362	cmd5checkpw\n    	Krzysztof Dabrowski	Owner
1366	cmucl\n    	Eric Marsden	Owner
1371	cmvision\n    	Jim Bruce	Owner
1373	co-browse\n    	Coldbeans	Owner
1376	cocalores\n    	Cord Beermann	Owner
1378	cocolinuxutilities\n    	Brian Hall	Owner
1379	cocoon\n    	Carsten Ziegeler	Owner
1379	cocoon\n    	Vadim Gritsenko	admin
