#  file: fsfProjectRequirements2010-May.txt
#  package: fsfRawData
#  description of file/package:
#
#  This package includes raw data files from our database of Free Software 
#  Foundation project information generated from the list of projects gathered 
#  in 2010-May
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#  
#  SELECT pi.proj_num, p.proj_unixname, pi.requirement, pi.requirement_type, pi.datasource_id 
#  FROM fsf_project_requirements pi, fsf_projects p 
#  WHERE p.proj_num = pi.proj_num AND pi.datasource_id=221 
#  ORDER BY p.proj_unixname, pi.requirement
#
#  datasource_id = 221 is the 2010-May collection from FSF.
proj_num	proj_unixname	requirement	requirement_type	datasource_id
5236	ArtofIllusion	Java Development Kit	Build Prerequisite	221
5236	ArtofIllusion	Java Virtual Machine	JVM	221
3811	ascend	GCC	Build Prerequisite	221
3811	ascend	Glade	Source Requirement	221
3811	ascend	GTK+	Use Requirement	221
3811	ascend	IPython	Weak Prerequisite	221
3811	ascend	Lex	Build Prerequisite	221
3811	ascend	Matplotlib	Use Requirement	221
3811	ascend	Numarray	Use Requirement	221
3811	ascend	PyGTK	Use Requirement	221
3811	ascend	Python	Use Requirement	221
3811	ascend	Scons	Build Prerequisite	221
3811	ascend	SWIG	Build Prerequisite	221
3811	ascend	Tcl/Tk	Use Requirement	221
3811	ascend	tktable	Weak Prerequisite	221
3811	ascend	xgraph	Weak Prerequisite	221
3811	ascend	Yacc	Build Prerequisite	221
5235	AsciiDoc	Python &gt;= 2.4	Use Requirement	221
5271	ASK	Python 1.5.2 or later	Use Requirement	221
3805	asmide	nasm	Build Prerequisite	221
3805	asmide	x86	Use Requirement	221
5233	AsmRef	NASM	Build Prerequisite	221
3804	aspell	gcc 2.95 or later	Build Prerequisite	221
5270	ASPSeek	MySQL	Use Requirement	221
5270	ASPSeek	STL library	Use Requirement	221
3803	asterisk-oh	Asterisk	Use Requirement	221
3803	asterisk-oh	OpenH323 library	Use Requirement	221
3803	asterisk-oh	PWLib	Use Requirement	221
3802	asteroids3D	Hardware accelerator card	Weak Prerequisite	221
3802	asteroids3D	Mesa3D graphics library	Use Requirement	221
5232	AstroCam	Apache 1.3 or later	Use Requirement	221
5232	AstroCam	PHP 4.3.0 or later	Use Requirement	221
3801	astrocatalog	Carp	Use Requirement	221
3801	astrocatalog	File::Spec	Use Requirement	221
3801	astrocatalog	LWP::UserAgent	Use Requirement	221
3801	astrocatalog	Math::Libm	Use Requirement	221
3801	astrocatalog	Net::Domain	Use Requirement	221
3798	at-spi	Gnome	Use Requirement	221
3797	atchange	Perl 5.004_03	Use Requirement	221
3795	aterr	PHP	Use Requirement	221
3794	atheism	glib	Build Prerequisite	221
3794	atheism	Perl 5.6.0 or later	Use Requirement	221
3794	atheism	Perl xmms bundle	Weak Prerequisite	221
3794	atheism	X-Chat 1.6.x or later	Use Requirement	221
3794	atheism	xmms 1.2.3 or later	Weak Prerequisite	221
5269	ATK	glib 2.0.0 or later	Use Requirement	221
3792	atlas	Fortran 77 compiler	Weak Prerequisite	221
3792	atlas	gcc	Weak Prerequisite	221
3792	atlas	LAPACK	Weak Prerequisite	221
3792	atlas	make	Build Prerequisite	221
3791	atlc	gnusl	Use Requirement	221
3791	atlc	pth	for running CPUs in parallel	221
3790	atool	bzip	Weak Prerequisite	221
3790	atool	bzip2	Weak Prerequisite	221
3790	atool	gzip	Weak Prerequisite	221
3790	atool	Perl 5.004	or later	221
3790	atool	tar	Weak Prerequisite	221
3790	atool	unzip	Weak Prerequisite	221
3790	atool	zip	Weak Prerequisite	221
3787	atslog	GCC	Build Prerequisite	221
3787	atslog	Perl	Use Requirement	221
3787	atslog	PHP	Use Requirement	221
3786	aub	Perl	Use Requirement	221
3785	aubio	libsndfile libsamplerate fftw	Build Prerequisite	221
3785	aubio	Python	Weak Prerequisite	221
3783	auctex	Emacs 21 or later	Use Requirement	221
5230	AuctionGallery	bash	Use Requirement	221
5230	AuctionGallery	ImageMagick	Use Requirement	221
3782	audacity	libmp3lame	Weak Prerequisite	221
3782	audacity	libogg	Weak Prerequisite	221
3782	audacity	libvorbis	Weak Prerequisite	221
3782	audacity	libvorbisenc	Weak Prerequisite	221
3782	audacity	wxWindows/GTK	Use Requirement	221
3781	audio-convert	Bash	Use Requirement	221
3781	audio-convert	Gnome	Build Prerequisite	221
3778	aumix	gettext	Weak Prerequisite	221
3774	auto-autofs	autofs	Use Requirement	221
3774	auto-autofs	Perl	Use Requirement	221
3773	autobench	gnuplot 3.7	Weak Prerequisite	221
3773	autobench	httperf	Use Requirement	221
3773	autobench	Perl	Use Requirement	221
3772	autoclass	glibc	Use Requirement	221
5229	AutoCodeGenerator	Python 2.0 or later	Use Requirement	221
3771	autoconf	GNU M4 1.4	Use Requirement	221
3771	autoconf	Perl	Weak Prerequisite	221
3769	autodia	Perl	Use Requirement	221
3769	autodia	Template Toolkit	Use Requirement	221
3768	autogen	ANSI C	Build Prerequisite	221
3768	autogen	Bourne-like shell	Use Requirement	221
3768	autogen	Guile	Use Requirement	221
3768	autogen	POSIX environment	Use Requirement	221
3767	autoindex	PHP 5.0.0 or later	Use Requirement	221
3766	autolame	External encoder program	Use Requirement	221
3766	autolame	LAME	Weak Prerequisite	221
3765	automake	GNU autoconf	Use Requirement	221
3765	automake	Perl 5	Use Requirement	221
3764	autonicedaemon	GNU make	Build Prerequisite	221
3762	autopoweroff	Python	Use Requirement	221
5228	AutoProfile	Gaim	Use Requirement	221
3761	autoproject	autogen	Build Prerequisite	221
5227	AutoScan	Samba 2.0.11 or later	Weak Prerequisite	221
5226	AutoScrapbook	exif	to handle data generated by digital cameras	221
5226	AutoScrapbook	ImageMagick	Use Requirement	221
5226	AutoScrapbook	Perl	Use Requirement	221
5226	AutoScrapbook	xv	Use Requirement	221
5221	Autossh	SSH	Use Requirement	221
3759	autotable	Expat	Build Prerequisite	221
3759	autotable	Perl	Use Requirement	221
3759	autotable	Web browser	Use Requirement	221
3759	autotable	Web server that runs CGI scripts	Use Requirement	221
3759	autotable	XML::Parser	Build Prerequisite	221
3759	autotable	XML::Simple	Build Prerequisite	221
3758	autotrace	ImageMagicck 5.2.1	Use Requirement	221
3758	autotrace	libpng	For PNG import	221
3758	autotrace	libpng 1.0.6	Use Requirement	221
3758	autotrace	Ming	for swf export	221
3758	autotrace	pstoedit	for other export formats	221
5225	AutoUpdate	Net::FTP module	Use Requirement	221
5225	AutoUpdate	perl	Use Requirement	221
5225	AutoUpdate	RPM	Use Requirement	221
3757	autovaca	aws	Build Prerequisite	221
3757	autovaca	gnat	Build Prerequisite	221
3754	averist		Use Requirement	221
3754	averist	Apache	Weak Prerequisite	221
3754	averist	Digest::MD5	Use Requirement	221
3754	averist	Digest::SHA1	Use Requirement	221
3754	averist	Mozilla	Weak Prerequisite	221
3754	averist	Perl 5.004 or later	Use Requirement	221
3754	averist	PostgreSQL	Weak Prerequisite	221
5268	AVFS	expat OR gnome-xml	Weak Prerequisite	221
3749	avsomat	gcx	Weak Prerequisite	221
5219	AweMUD	Bison	Build Prerequisite	221
5219	AweMUD	Flex	Build Prerequisite	221
5219	AweMUD	Scriptix	Build Prerequisite	221
5219	AweMUD	xmlto	Weak Prerequisite	221
5266	AWF	Apache	Use Requirement	221
5266	AWF	MySQL	Use Requirement	221
5266	AWF	PHP 4.3.0 or later	Use Requirement	221
5264	AWStats	ability to log web access in &quot;NCSA combined f	preferably read/write	221
5264	AWStats	perl	Use Requirement	221
5218	AxPoint	pdflib	Use Requirement	221
5218	AxPoint	Perl	Use Requirement	221
3746	ayam	Affine	Weak Prerequisite	221
3746	ayam	Aqsis	Weak Prerequisite	221
3746	ayam	BMRT	Weak Prerequisite	221
3746	ayam	OpenGL	Use Requirement	221
3746	ayam	SGML-Tools	Weak Prerequisite	221
3746	ayam	Tcl/Tk	Use Requirement	221
3745	ayttm	Arts	Weak Prerequisite	221
3745	ayttm	autoconf	Build Prerequisite	221
3745	ayttm	automake	Build Prerequisite	221
3745	ayttm	Esd	Weak Prerequisite	221
3745	ayttm	gettext	Build Prerequisite	221
3745	ayttm	Glib 1.2	Build Prerequisite	221
3745	ayttm	Gpgme	Weak Prerequisite	221
3745	ayttm	Gtk 1.2	Build Prerequisite	221
3745	ayttm	Jasper	Weak Prerequisite	221
