#  file: owProjDesc2010-May.txt
#  package: owRawData
#  description of file/package:
#
#  This package includes raw data files from our database of objectweb project 
#  information generated from the list of projects gathered in May of 2010
#
#  Raw html data was inserted into database by running our java-based objectweb 
#  spidering program based on the libraries at ossmole.sf.net in our CVS tree.
#  This html data was then parsed and scraped to extract interesting facts.
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (after all we just spidered it ;)
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT proj_unixname, description, date_collected, datasource_id
#  FROM ow_project_description
#  WHERE datasource_id=220
#  ORDER BY proj_unixname
#
#  datasource_id = 220 is the May 2010 run on objectweb.

proj_unixname	description	date_collected	datasource_id
rubbos	RUBBoS is a bulletin board benchmark modeled after an online news forum like Slashdot. It is used for design patterns and J2EE servers performance scalability evaluation. RUBBoS provides the essential bulletin board features such as discussion threads.	2010-05-03 15:36:38	220
rubis	RUBiS is an auction site prototype modeled after eBay.com. It is used for design patterns and J2EE servers performance scalability evaluation.	2010-05-03 15:36:38	220
s4allsdk	S4All-SDK is a toolkit to build a Java standard based service oriented platform	2010-05-03 15:36:38	220
salome-tmf	SalomeTMF is a test management tool, aiming to provide an open framework allowing, the automatic tests execution, reports, and the management of defects/requirements. In 2010 ACPQualife take the lead of the project. http://www.Acpqualife.com/	2010-05-03 15:36:38	220
scarbo	Scarbo brings technology agnostic Business Process design and execution to your service architecture. Built on Eclipse Java Workflow Tooling (JWT) and the Frascati SCA platform, it supports the Nova Bonita workflow engine while being open to others.	2010-05-03 15:36:38	220
shark	Enhydra Shark is a workflow server with a difference. Shark is completely based on standards from WfMC and OMG using XPDL as its native workflow definition language. The Shark framework can be configured to support different environments.	2010-05-03 15:36:38	220
snapper	Enhydra Snapper is a fulltext search library / framework in Java based on Apache Lucene to build search engine applications or integrate fulltext search into applications.	2010-05-03 15:36:38	220
soda	The SODA project will develop an ecosystem (runtime and tools) for building service-oriented systems running on embedded devices. Both a C/C++ and a Java (J2ME CDC) version will be developed.	2010-05-03 15:36:38	220
sofa	SOFA provides a platform for designing applications composed of hierarchical, dynamically updatable components, interconnected by connectors hiding deployment details. Communication among the components can be captured formally by behavior protocols.	2010-05-03 15:36:38	220
spago	Spago is a J2EE framework that provides a solution to the needs of multichannel applications and integration services. It allows to develop web applications,integrating existing infrastructures and publishing the services on different channels.	2010-05-03 15:36:38	220
spago4q	Spago4Q  is a platform for assessing the maturity of the software development process and product, by evaluating data and measures collected from the development tools with non-invasive techniques, in order to improve the overall quality.	2010-05-03 15:36:38	220
