#  file: sfRawDonorsData2009-Jun.txt
#  package: sfRawData2009-Jun
#  description of file/package:
#
#  This package includes raw data files from our database of Sourceforge project 
#  information generated from the list of projects gathered on 2009-Jun
#
#  Raw data was inserted into database by running the scripts:
#  parseHtmlDonorsSF.pl
#
#  This particular file includes raw "Donors" data for each project 
#  that shows this info on their SF project pages. (Not every project lists this 
#  information.)
#
#  Scripts & raw data available at http://ossmole.sourceforge.net
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2008) SourceForge Available at: 
#  http://ossmole.sourceforge.net
#
#  SELECT * FROM `project_donors` WHERE datasource_id=172
#
#  description of columns:
#  proj_unixname: the name of the project at sourceforge (PK)
#  donor_id: the donor's name (PK)
#  date_collected: this is the date the data was inserted
#  datasource_id: when was this data gathered, and on which run? (PK)
proj_unixname	donor_id	datasource_id	date_collected
battletorrent	Anonymous donor(s)	172	2009-06-11 22:13:52
battletorrent	rolandorg	172	2009-06-11 22:13:52
bbdkp	Anonymous donor(s)	172	2009-06-11 22:13:54
bedic	kurochka	172	2009-06-11 22:13:59
bedic	roatta	172	2009-06-11 22:13:59
bedic	Anonymous donor(s)	172	2009-06-11 22:13:59
beehiveforum	michaelgibson	172	2009-06-11 22:14:00
beehiveforum	hofstaff	172	2009-06-11 22:14:00
beepcore-java	Anonymous donor(s)	172	2009-06-11 22:14:00
begm	kfsone	172	2009-06-11 22:14:00
belkin-extract	Anonymous donor(s)	172	2009-06-11 22:14:01
beo	jpf200524	172	2009-06-11 22:14:02
beo	vonbon	172	2009-06-11 22:14:02
beo	Anonymous donor(s)	172	2009-06-11 22:14:02
bhttpmail	Anonymous donor(s)	172	2009-06-11 22:14:06
bhttpmail	gssq	172	2009-06-11 22:14:06
bibdesk	luredan	172	2009-06-11 22:14:06
bibdesk	weisen	172	2009-06-11 22:14:06
bibdesk	dp_goldenberg	172	2009-06-11 22:14:06
bibdesk	matt1619	172	2009-06-11 22:14:06
billardgl	xnor	172	2009-06-11 22:14:10
bingo-cards	hipparchus2001	172	2009-06-11 22:14:11
biocentrica	Anonymous donor(s)	172	2009-06-11 22:14:11
bios-lt	greghol	172	2009-06-11 22:14:12
birdblog	Anonymous donor(s)	172	2009-06-11 22:14:14
birdy	Anonymous donor(s)	172	2009-06-11 22:14:14
bitweaver	tarus	172	2009-06-11 22:14:16
bitweaver	gravyface	172	2009-06-11 22:14:16
blackberrytools	chrispylord	172	2009-06-11 22:14:17
blackberrytools	Anonymous donor(s)	172	2009-06-11 22:14:17
blackchat	Anonymous donor(s)	172	2009-06-11 22:14:17
blahzdns	hockeyrink	172	2009-06-11 22:14:18
blissemu	kldavis	172	2009-06-11 22:14:20
blogtk	Anonymous donor(s)	172	2009-06-11 22:14:22
blua	Anonymous donor(s)	172	2009-06-11 22:14:23
bluecove	ujs83	172	2009-06-11 22:14:23
bluefish	ysgys	172	2009-06-11 22:14:24
bluefish	Anonymous donor(s)	172	2009-06-11 22:14:24
bluetooth-alsa	colinkiegel	172	2009-06-11 22:14:25
bluetooth-alsa	ssj195	172	2009-06-11 22:14:25
