#  file: fmRawProjectStats2010-May.txt
#  package: fmProjectData
#  description of file/package:
#
#  This package includes raw data files from our database of Freshmeat project 
#  information generated from the list of projects gathered in 2010-May
#
#  Raw data was inserted into database by running the scripts:
#  scraper.pl and url_resolver.pl on the RDF files provided by Freshmeat. Get 
#  these files like this:
#  curl -O http://download.freshmeat.net/backend/fm-projects.rdf.bz2
#
#  Scripts & raw data available at http://flossmole.org
#  Scripts written by Megan Squire and contributed to the FLOSSmole project
#
#  This data is free and available for any use (afterall we just spidered it ;).
#  We do however request that those using the data in any published form provide 
#  a citation to: FLOSSmole Project (2004-2010) 
#  The project is available at: http://flossmole.org
#
#  SELECT project_id, projectname_short, vitality_score, vitality_percent, 
#  vitality_rank, popularity_score, popularity_percent, popularity_rank, rating, 
#  rating_count, rating_rank, subscriptions
#  FROM `fm_projects`
#  WHERE datasource_id=218
#  ORDER BY project_id
#
#  datasource_id = 218 is the 2010-May run on freshmeat.
project_id	projectname_short	vitality_score	vitality_percent	vitality_rank	popularity_score	popularity_percent	popularity_rank	rating	rating_count	rating_rank	subscriptions
265	anjuta\n    	12.45\n    	NULL	NULL	1010.05\n    	NULL	NULL	67\n    	70\n    	NULL	228\n    
268	anonvelope\n    	1.49\n    	NULL	NULL	109.94\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
269	anonynews\n    	1.77\n    	NULL	NULL	33.53\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
272	anpa\n    	1.0\n    	NULL	NULL	34.55\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
273	ansi2gif\n    	2.83\n    	NULL	NULL	80.35\n    	NULL	NULL	1\n    	1\n    	NULL	7\n    
274	ansiprint\n    	1.0\n    	NULL	NULL	37.47\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
275	anteater\n    	4.37\n    	NULL	NULL	376.38\n    	NULL	NULL	0\n    	0\n    	NULL	29\n    
277	anteil\n    	1.75\n    	NULL	NULL	49.6\n    	NULL	NULL	0\n    	1\n    	NULL	4\n    
278	anthem\n    	1.89\n    	NULL	NULL	141.57\n    	NULL	NULL	0\n    	0\n    	NULL	10\n    
286	antiword\n    	4.47\n    	NULL	NULL	645.4\n    	NULL	NULL	18\n    	18\n    	NULL	145\n    
287	antlr\n    	2.79\n    	NULL	NULL	304.66\n    	NULL	NULL	5\n    	6\n    	NULL	41\n    
288	antsalarm\n    	3.19\n    	NULL	NULL	64.54\n    	NULL	NULL	0\n    	0\n    	NULL	6\n    
289	anyjjavaide\n    	1.45\n    	NULL	NULL	43.36\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
291	aolinstantmessengeraim\n    	2.23\n    	NULL	NULL	74.73\n    	NULL	NULL	3\n    	4\n    	NULL	4\n    
292	aolserver\n    	6.75\n    	NULL	NULL	139.9\n    	NULL	NULL	5\n    	7\n    	NULL	22\n    
294	apache\n    	67.3\n    	NULL	NULL	13304.9\n    	NULL	NULL	275\n    	285\n    	NULL	1824\n    
297	apachejakartaregexp\n    	1.53\n    	NULL	NULL	125.57\n    	NULL	NULL	1\n    	1\n    	NULL	11\n    
298	apachejetspeed\n    	3.61\n    	NULL	NULL	139.43\n    	NULL	NULL	0\n    	0\n    	NULL	11\n    
299	apachejmeter\n    	4.58\n    	NULL	NULL	201.8\n    	NULL	NULL	0\n    	1\n    	NULL	24\n    
300	apachejserv\n    	3.48\n    	NULL	NULL	64.23\n    	NULL	NULL	1\n    	1\n    	NULL	4\n    
301	apachespfc\n    	1.0\n    	NULL	NULL	34.42\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
302	apachetoolbox\n    	12.19\n    	NULL	NULL	740.99\n    	NULL	NULL	22\n    	25\n    	NULL	247\n    
304	apache-owa\n    	1.79\n    	NULL	NULL	53.85\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
305	apache-ssl\n    	6.75\n    	NULL	NULL	139.95\n    	NULL	NULL	1\n    	2\n    	NULL	13\n    
308	apache2dot\n    	1.0\n    	NULL	NULL	47.54\n    	NULL	NULL	0\n    	0\n    	NULL	3\n    
309	apachearchive\n    	1.0\n    	NULL	NULL	35.07\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
310	apacheasp\n    	15.27\n    	NULL	NULL	305.75\n    	NULL	NULL	0\n    	0\n    	NULL	50\n    
313	pagekit\n    	5.04\n    	NULL	NULL	42.12\n    	NULL	NULL	0\n    	1\n    	NULL	1\n    
315	apachesession\n    	8.2\n    	NULL	NULL	71.38\n    	NULL	NULL	1\n    	1\n    	NULL	4\n    
319	apache-compile-howto\n    	6.36\n    	NULL	NULL	298.85\n    	NULL	NULL	4\n    	6\n    	NULL	64\n    
320	apalogfilter\n    	3.2\n    	NULL	NULL	35.37\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
322	apc-aa\n    	0.0\n    	NULL	NULL	115.62\n    	NULL	NULL	0\n    	0\n    	NULL	7\n    
325	apccomm\n    	5.49\n    	NULL	NULL	56.5\n    	NULL	NULL	1\n    	2\n    	NULL	5\n    
326	apcupsd\n    	4.94\n    	NULL	NULL	824.26\n    	NULL	NULL	7\n    	7\n    	NULL	89\n    
329	aphid\n    	2.95\n    	NULL	NULL	119.39\n    	NULL	NULL	0\n    	1\n    	NULL	4\n    
330	aphrodite\n    	1.0\n    	NULL	NULL	44.7\n    	NULL	NULL	0\n    	0\n    	NULL	2\n    
331	apirc\n    	0.0\n    	NULL	NULL	19.34\n    	NULL	NULL	0\n    	0\n    	NULL	1\n    
333	aplus\n    	3.73\n    	NULL	NULL	96.19\n    	NULL	NULL	1\n    	1\n    	NULL	5\n    
335	apmiser\n    	1.42\n    	NULL	NULL	82.66\n    	NULL	NULL	0\n    	0\n    	NULL	7\n    
338	app\n    	2.07\n    	NULL	NULL	38.17\n    	NULL	NULL	0\n    	0\n    	NULL	0\n    
340	anywhereoffice\n    	2.12\n    	NULL	NULL	71.37\n    	NULL	NULL	0\n    	0\n    	NULL	5\n    
